groups,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_missed_change_fn,ci95_missed_change_fn,mean_false_topology_alarm,ci95_false_topology_alarm,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_topology_risk_ece,ci95_topology_risk_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,ablation,interpretation
10,0.79583,0.00577,0.13837,0.00641,0.03681,0.00538,0.01563,0.00127,0.74516,0.00927,0.36180,0.01229,0.14877,0.00863,0.61527,0.00000,0.23865,0.00000,0.19074,0.00715,0.00000,0.00000,0.42853,0.01589,full_risk_calibrated_topology_belief_v5,all components
10,0.65842,0.00800,0.21545,0.00985,0.07630,0.00366,0.01892,0.00229,0.67840,0.00934,0.44758,0.01102,0.15213,0.01014,0.69247,0.00000,0.24404,0.00000,0.30204,0.00703,0.00000,0.00000,0.15355,0.01557,no_action_conditioning,removes candidate-action graph deltas
10,0.73368,0.00982,0.17231,0.00658,0.04974,0.00466,0.01780,0.00285,0.68799,0.01029,0.43256,0.01144,0.15956,0.01476,0.67367,0.00000,0.18884,0.00000,0.23919,0.00607,0.00000,0.00000,0.32679,0.01572,no_active_topology_probe,removes diagnostic probes
10,0.70616,0.00881,0.20182,0.00934,0.05799,0.00485,0.02188,0.00330,0.67037,0.01074,0.44453,0.01261,0.19708,0.01922,0.64407,0.00000,0.22529,0.00000,0.28015,0.00822,0.00000,0.00000,0.24403,0.01797,no_occlusion_persistence,removes occlusion-state memory
10,0.70365,0.00856,0.19236,0.00781,0.05868,0.00441,0.01979,0.00240,0.65918,0.01166,0.46881,0.01448,0.16131,0.01040,0.63767,0.00000,0.23044,0.00000,0.26904,0.00952,0.00000,0.00000,0.25307,0.01860,no_passage_homology,removes passage connectivity features
10,0.73429,0.01027,0.15738,0.00738,0.04167,0.00420,0.01589,0.00246,0.69455,0.00656,0.40216,0.00977,0.26355,0.01345,0.60207,0.00000,0.28387,0.00000,0.22956,0.00558,0.00000,0.00000,0.32077,0.01440,no_replan_hysteresis,over-triggers replanning
10,0.69549,0.00817,0.20165,0.01035,0.06085,0.00495,0.02135,0.00165,0.64857,0.00678,0.48360,0.00807,0.15655,0.00972,0.63407,0.00000,0.23074,0.00000,0.28348,0.00889,0.00000,0.00000,0.23248,0.01582,no_support_edge_memory,removes support-edge persistence
10,0.72274,0.00666,0.17674,0.00675,0.06675,0.00636,0.01745,0.00280,0.70165,0.00971,0.38599,0.00962,0.27414,0.01301,0.63207,0.00000,0.22759,0.00000,0.26836,0.00621,0.00000,0.00000,0.27439,0.01078,no_topology_risk_calibration,removes risk calibration
10,0.54384,0.00910,0.30538,0.00744,0.13620,0.00496,0.04679,0.00425,0.52785,0.00786,0.58624,0.00741,0.32055,0.01539,0.76407,0.00000,0.21134,0.00000,0.43432,0.00547,0.00000,0.00000,-0.15635,0.01791,topological_slam_only,strong topological SLAM/TAMP reference
10,0.67422,0.00579,0.21345,0.00823,0.08273,0.00583,0.02118,0.00273,0.64694,0.00799,0.45986,0.01078,0.26665,0.01281,0.68867,0.00000,0.21767,0.00000,0.31740,0.00591,0.00000,0.00000,0.16476,0.00890,v4_topology_detector_rules,prior v4 rule proxy
